Bin,Frequency,cumsum,normalized,,maxwell,,T,200,,,
2.13E-03,1,2.89E-03,1.01E-01,,4.01E-01,,k,8.62E-05,,,
5.02E-03,12,3.76E-02,1.21E+00,,2.18E+00,,m,39.948,,,
7.91E-03,24,1.07E-01,2.42E+00,,5.19E+00,,std,0.020770432,,,
1.08E-02,61,2.83E-01,6.15E+00,,9.08E+00,,C1,12.56637061,,,
1.37E-02,123,6.39E-01,1.24E+01,,1.34E+01,,C2,7085.877277,,,
1.66E-02,134,1.03E+00,1.35E+01,,1.78E+01,,,,,,
1.95E-02,196,1.59E+00,1.98E+01,,2.18E+01,,dbin,2.89E-03,,,
2.24E-02,224,2.24E+00,2.26E+01,,2.50E+01,,,,,,
2.53E-02,266,3.01E+00,2.68E+01,,2.71E+01,,,,,,
2.82E-02,279,3.82E+00,2.81E+01,,2.82E+01,,V_most_probable=,,,3.11E-02,(line 12)
3.11E-02,285,4.64E+00,2.87E+01,,2.81E+01,,V_most_probable(theoretical)=,,,2.82E-02,(line 11)
3.39E-02,279,5.45E+00,2.81E+01,,2.70E+01,,,,,,
3.68E-02,268,6.22E+00,2.70E+01,,2.51E+01,,,,,,
3.97E-02,231,6.89E+00,2.33E+01,,2.26E+01,,,,,,
4.26E-02,211,7.50E+00,2.13E+01,,1.97E+01,,,,,,
4.55E-02,207,8.10E+00,2.09E+01,,1.67E+01,,,,,,
4.84E-02,150,8.54E+00,1.51E+01,,1.38E+01,,,,,,
5.13E-02,127,8.90E+00,1.28E+01,,1.11E+01,,,,,,
5.42E-02,97,9.18E+00,9.78E+00,,8.70E+00,,,,,,
5.71E-02,84,9.43E+00,8.47E+00,,6.65E+00,,,,,,
6.00E-02,53,9.58E+00,5.34E+00,,4.95E+00,,,,,,
6.29E-02,34,9.68E+00,3.43E+00,,3.61E+00,,,,,,
6.58E-02,21,9.74E+00,2.12E+00,,2.56E+00,,,,,,
6.87E-02,23,9.80E+00,2.32E+00,,1.78E+00,,,,,,
7.15E-02,14,9.85E+00,1.41E+00,,1.21E+00,,,,,,
7.44E-02,7,9.87E+00,7.06E-01,,8.02E-01,,,,,,
7.73E-02,13,9.90E+00,1.31E+00,,5.21E-01,,,,,,
8.02E-02,1,9.91E+00,1.01E-01,,3.30E-01,,,,,,
8.31E-02,2,9.91E+00,2.02E-01,,2.05E-01,,,,,,
8.60E-02,2,9.92E+00,2.02E-01,,1.25E-01,,,,,,
More,1,,,,,,,,,,
